second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
0,0:00,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] เรามาเราจะทำขยะให้มันดีก็คงทำไม่ได้,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] เน่า มา แล้ว เรา จะ ทำ ขยะ ให้ มัน ดี พ…,
1,0:01,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] เรามาเราจะทำขยะให้มันดีก็คงทำไม่ได้,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] เน่า มา แล้ว เรา จะ ทำ ขยะ ให้ มัน ดี พ…,
2,0:02,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] เรามาเราจะทำขยะให้มันดีก็คงทำไม่ได้,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] เน่า มา แล้ว เรา จะ ทำ ขยะ ให้ มัน ดี พ…,
3,0:03,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] เรามาเราจะทำขยะให้มันดีก็คงทำไม่ได้,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] เน่า มา แล้ว เรา จะ ทำ ขยะ ให้ มัน ดี พ…,
4,0:04,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] นั่นแปลว่าเราต้องแล้ว asset เรา ดีจริงไ…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,
5,0:05,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] นั่นแปลว่าเราต้องแล้ว asset เรา ดีจริงไ…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] นั่น แปล ว่า เรา ต้อง สกรีนนิ่ง แล้ว ว่…,
6,0:06,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] นั่นแปลว่าเราต้องแล้ว asset เรา ดีจริงไ…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] นั่น แปล ว่า เรา ต้อง สกรีนนิ่ง แล้ว ว่…,
7,0:07,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] นั่นแปลว่าเราต้องแล้ว asset เรา ดีจริงไ…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] นั่น แปล ว่า เรา ต้อง สกรีนนิ่ง แล้ว ว่…,
8,0:08,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,
9,0:09,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
10,0:10,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
