second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3.1-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
0,0:00,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,,,
1,0:01,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
2,0:02,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
3,0:03,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
4,0:04,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
5,0:05,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
6,0:06,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
7,0:07,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
8,0:08,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
9,0:09,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครับ ถ้า จะ ประชุม ออนไลน์ ก็ บอก ให้ ท…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
10,0:10,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
11,0:11,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครั้ง นั้น น่ะ จะ เป็น ถ้า อย่าง นั้น ต…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
