second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
0,0:00,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,,[Speaker 1] ,
1,0:01,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] นะครับ อ่า ไม่ต้องเห็นหน้าอะไรนะ ก็ไม่เ…,[Speaker 1] นะครับ อ่า ไม่ต้องเห็นหน้า อะไร,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าอะไร เอ่อ ไม…
2,0:02,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] นะครับ อ่า ไม่ต้องเห็นหน้าอะไรนะ ก็ไม่เ…,[Speaker 1] นะครับ อ่า ไม่ต้องเห็นหน้า อะไร,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าอะไร เอ่อ ไม…
3,0:03,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] นะครับ อ่า ไม่ต้องเห็นหน้าอะไรนะ ก็ไม่เ…,,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าอะไร เอ่อ ไม…
4,0:04,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,[Speaker 1] ไม่เป็นไรนะฮะ คุณแทป กับ คุณ วัชรินทร์ …,
5,0:05,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,[Speaker 1] ไม่เป็นไรนะฮะ คุณแทป กับ คุณ วัชรินทร์ …,
6,0:06,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,[Speaker 1] ไม่เป็นไรนะฮะ คุณแทป กับ คุณ วัชรินทร์ …,
7,0:07,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,[Speaker 1] ไม่เป็นไรนะฮะ คุณแทป กับ คุณ วัชรินทร์ …,
8,0:08,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,,
9,0:09,[Speaker 1] นะครับ ไม่ต้องเห็นหน้าเหรอ ไม่เป็นไรนะค…,[Speaker 1] นะครับ เอ่อ ไม่ต้องเห็นหน้าเหรอ ได้ครับ…,[Speaker 1] นะครีนติ ก็ ไม่ต้องเห็นหน้าหรอก อะไร อะ…,,[Speaker 1] อยู่ครับได้ครับ ได้ครับ,,
